Label,Art Num,RareWord/Token,TTR Ratio
0,1,0.011986301,0.79109589
1,2,0.004950495,0.534653465
0,3,0.016393443,0.868852459
1,4,0,0.655172414
0,5,0.010638298,0.920212766
0,6,0.00952381,0.828571429
1,7,0.013245033,0.78807947
1,8,0.010169492,0.694915254
1,9,0,0.621527778
0,10,0.006944444,0.951388889
0,11,0.013605442,0.931972789
1,12,0,0.748387097
0,13,0,0.905109489
1,14,0,0.755274262
1,15,0.004329004,0.727272727
0,16,0.004366812,0.860262009
0,17,0.011904762,0.952380952
0,18,0.006024096,0.858433735
0,19,0.030612245,0.882653061
1,20,0,0.660714286
0,21,0.005747126,0.873563218
1,22,0.008474576,0.68220339
1,23,0,0.733333333
1,24,0,0.721311475
0,25,0.003584229,0.88172043
1,26,0.005181347,0.74611399
1,27,0.005449591,0.621253406
1,28,0,0.682692308
0,29,0.013432836,0.773134328
0,30,0.026845638,0.926174497
0,31,0.008810573,0.845814978
0,32,0.004672897,0.88317757
1,33,0.003891051,0.6692607
1,34,0.009090909,0.763636364
0,35,0.00729927,0.948905109
1,36,0.005434783,0.717391304
1,37,0.004474273,0.583892617
1,38,0.012861736,0.601286174
1,39,0,0.657407407
1,40,0.004950495,0.497524752
1,41,0.020100503,0.673366834
0,42,0.002197802,0.773626374
0,43,0.004032258,0.858870968
1,44,0,0.739130435
1,45,0,0.696969697
0,46,0.014150943,0.891509434
1,47,0,0.656652361
0,48,0.013417522,0.686661405
1,49,0.021390374,0.79144385
0,50,0,0.873563218
1,51,0,0.73015873
1,52,0.016333938,0.568058076
0,53,0.01754386,0.906432749
1,54,0.012658228,0.713080169
1,55,0.03125,0.61328125
0,56,0.008658009,0.874458874
1,57,0.00802139,0.676470588
1,58,0.00286533,0.571633238
0,59,0.005714286,0.908571429
0,60,0,0.93814433
1,61,0,0.720496894
0,62,0.017467249,0.912663755
1,63,0.009915014,0.497167139
1,64,0.006423983,0.670235546
1,65,0.007166746,0.460105112
0,66,0.006756757,0.827702703
1,67,0,0.778301887
1,68,0.004016064,0.670682731
1,69,0.019493177,0.545808967
1,70,0.00456621,0.666666667
1,71,0.002159827,0.574514039
0,72,0.004098361,0.860655738
0,73,0.008090615,0.784789644
1,74,0.004219409,0.658227848
0,75,0.015189873,0.848101266
1,76,0.001677852,0.644295302
0,77,0.011290323,0.767741935
0,78,0,0.919463087
0,79,0.011605416,0.781431335
0,80,0.011450382,0.830152672
1,81,0.012269939,0.748466258
0,82,0.005823187,0.612493383
1,83,0.016260163,0.707317073
0,84,0.004807692,0.870192308
0,85,0,0.919354839
0,86,0.006884682,0.790017212
1,87,0,0.73553719
1,88,0.016759777,0.62849162
1,89,0.002898551,0.536231884
1,90,0.004716981,0.66509434
1,91,0.016393443,0.717213115
0,92,0,0.863354037
0,93,0.010504202,0.789915966
0,94,0.01552795,0.872670807
0,95,0.018121911,0.738056013
0,96,0.013100437,0.903930131
0,97,0.005235602,0.884816754
1,98,0.003787879,0.662878788
0,99,0,0.931428571
1,100,0.004504505,0.702702703
0,101,0.004608295,0.875576037
1,102,0.004,0.656
1,103,0.009708738,0.708737864
1,104,0.004273504,0.739316239
1,105,0.004027829,0.310875137
1,106,0,0.725490196
1,107,0.009546539,0.701670644
1,108,0.03125,0.64453125
1,109,0.012145749,0.587044534
0,110,0.005597015,0.777985075
1,111,0.004166667,0.4375
1,112,0.009041591,0.486437613
0,113,0.006711409,0.912751678
1,114,0.002961083,0.368866328
0,115,0.004132231,0.884297521
0,116,0.006756757,0.868243243
1,117,0.002928258,0.464128843
0,118,0.008064516,0.879032258
0,119,0.017241379,0.831034483
0,120,0.011049724,0.922651934
0,121,0.007434944,0.903345725
0,122,0.008395802,0.530134933
0,123,0.007692308,0.915384615
1,124,0.017730496,0.666666667
0,125,0.008356546,0.849582173
0,126,0.012931034,0.86637931
0,127,0.008064516,0.858870968
0,128,0,0.832535885
1,129,0.017316017,0.593073593
1,130,0,0.674528302
0,131,0.013586957,0.767663043
0,132,0.007194245,0.537691586
0,133,0.009765625,0.796875
0,134,0.009345794,0.971962617
0,135,0.008368201,0.924686192
1,136,0.003968254,0.619047619
0,137,0.017857143,0.883928571
0,138,0,0.899280576
0,139,0.007575758,0.939393939
0,140,0.007751938,0.92248062
1,141,0,0.722772277
0,142,0.019230769,0.894230769
0,143,0.005988024,0.862275449
1,144,0.004651163,0.641860465
1,145,0,0.665562914
0,146,0.007847534,0.735426009
0,147,0.00990099,0.940594059
0,148,0.003076923,0.861538462
0,149,0.012987013,0.759149941
1,150,0.003546099,0.75177305
0,151,0.003184713,0.828025478
0,152,0.013888889,0.944444444
0,153,0.008323424,0.731272295
0,154,0.014652015,0.871794872
0,155,0.007968127,0.78685259
0,156,0.009433962,0.855345912
1,157,0.004934211,0.472039474
1,158,0,0.713541667
1,159,0,0.724738676
1,160,0.009416196,0.47834275
1,161,0.003816794,0.721374046
1,162,0.009090909,0.836363636
0,163,0.007220217,0.799638989
0,164,0.005882353,0.829411765
1,165,0,0.505338078
1,166,0.009615385,0.621794872
0,167,0,0.917748918
0,168,0,0.790170132
0,169,0.016460905,0.87654321
0,170,0.017094017,0.88034188
1,171,0.011804384,0.647554806
1,172,0.018691589,0.69470405
0,173,0.015337423,0.837423313
1,174,0.001855288,0.591836735
0,175,0.00952381,0.876190476
0,176,0.009302326,0.88372093
0,177,0.005449591,0.825613079
1,178,0,0.780876494
0,179,0.011111111,0.944444444
1,180,0.004716981,0.726415094
0,181,0.010416667,0.921875
1,182,0,0.617647059
1,183,0.011976048,0.718562874
0,184,0,0.86407767
0,185,0.009778112,0.556600226
0,186,0.013245033,0.790286976
1,187,0.008064516,0.717741935
0,188,0.012319606,0.552622316
1,189,0,0.632768362
1,190,0.010909091,0.676363636
1,191,0.004807692,0.783653846
0,192,0.010596546,0.561616954
1,193,0.002724796,0.553133515
